
YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR,PS
2022,1,2,11,14.53,54.12,0.0,97.76
2022,1,2,12,14.47,51.88,0.0,97.65
2022,1,2,13,14.4,50.75,0.0,97.54
2022,1,2,14,14.47,51.12,0.0,97.47
2022,1,2,15,14.77,53.56,0.0,97.47
2022,1,2,16,15.38,58.62,0.0,97.52
2022,1,2,17,16.24,71.0,0.0,97.57
2022,1,2,18,16.05,75.06,0.0,97.65
2022,1,2,19,15.87,75.06,0.0,97.76
2022,1,2,20,15.87,76.19,0.0,97.85
2022,1,2,21,15.81,78.25,0.0,97.9
2022,1,2,22,15.75,78.88,0.01,97.9
2022,1,2,23,15.56,79.44,0.04,97.89
2022,1,3,0,15.26,80.12,0.06,97.86
2022,1,3,1,14.95,81.38,0.07,97.81
2022,1,3,2,14.65,82.0,0.06,97.75
2022,1,3,3,14.34,83.0,0.03,97.74
2022,1,3,4,14.1,83.31,0.01,97.75
2022,1,3,5,13.79,83.56,0.0,97.78
2022,1,3,6,13.98,83.5,0.0,97.84
2022,1,3,7,14.47,75.19,0.0,97.92
2022,1,3,8,14.28,65.06,0.0,98.0
2022,1,3,9,13.79,56.0,0.0,98.02
2022,1,3,10,13.49,50.75,0.0,97.97
2022,1,3,11,13.37,47.5,0.0,97.85
2022,1,3,12,13.24,45.31,0.0,97.74
2022,1,3,13,13.73,46.19,0.0,97.63
2022,1,3,14,13.98,46.94,0.01,97.55
2022,1,3,15,14.53,50.19,0.01,97.54
2022,1,3,16,15.14,55.19,0.01,97.6
2022,1,3,17,16.11,67.69,0.01,97.66
2022,1,3,18,15.44,69.31,0.06,97.75
2022,1,3,19,15.26,71.19,0.04,97.83
2022,1,3,20,15.5,74.94,0.28,97.89
2022,1,3,21,15.75,78.12,0.45,97.9
2022,1,3,22,15.87,80.94,0.51,97.88
2022,1,3,23,15.99,83.12,0.39,97.82
2022,1,4,0,15.93,84.44,0.25,97.77
2022,1,4,1,15.75,85.69,0.06,97.7
2022,1,4,2,15.44,86.38,0.01,97.67
2022,1,4,3,14.95,85.94,0.01,97.67
2022,1,4,4,14.34,85.38,0.01,97.71
2022,1,4,5,13.98,85.06,0.01,97.77
2022,1,4,6,13.98,84.12,0.01,97.85
2022,1,4,7,14.59,75.25,0.0,97.93
2022,1,4,8,13.98,65.38,0.0,97.99
2022,1,4,9,13.61,57.5,0.0,97.99
2022,1,4,10,13.67,53.38,0.0,97.94
2022,1,4,11,13.92,50.88,0.0,97.84
2022,1,4,12,14.1,49.31,0.0,97.71
2022,1,4,13,14.71,50.44,0.01,97.58
2022,1,4,14,15.08,51.81,0.03,97.46
2022,1,4,15,14.83,52.12,0.05,97.41
2022,1,4,16,15.08,55.38,0.03,97.44
2022,1,4,17,15.56,66.38,0.02,97.5
2022,1,4,18,15.08,69.62,0.01,97.58
2022,1,4,19,14.77,71.5,0.01,97.69
2022,1,4,20,14.59,74.06,0.01,97.78
2022,1,4,21,14.47,77.0,0.0,97.82
2022,1,4,22,14.28,79.38,0.0,97.81
2022,1,4,23,14.04,81.0,0.0,97.77
2022,1,5,0,13.79,82.25,0.0,97.73
2022,1,5,1,13.55,83.31,0.0,97.69
2022,1,5,2,13.37,84.25,0.0,97.65
2022,1,5,3,13.12,85.0,0.0,97.65
2022,1,5,4,12.88,85.5,0.0,97.68
2022,1,5,5,12.63,85.81,0.0,97.72
2022,1,5,6,12.63,84.31,0.0,97.79
2022,1,5,7,12.94,72.56,0.0,97.86
2022,1,5,8,12.33,61.94,0.0,97.91
2022,1,5,9,11.9,54.31,0.0,97.91
2022,1,5,10,11.66,48.81,0.0,97.84
2022,1,5,11,11.47,44.94,0.0,97.73
2022,1,5,12,11.47,42.5,0.0,97.6
2022,1,5,13,11.35,41.06,0.0,97.46
2022,1,5,14,11.23,40.12,0.0,97.34
2022,1,5,15,11.35,41.06,0.0,97.29
2022,1,5,16,11.72,44.31,0.0,97.3
2022,1,5,17,12.51,55.0,0.0,97.33
2022,1,5,18,12.27,59.12,0.0,97.39
2022,1,5,19,12.51,65.06,0.0,97.51
2022,1,5,20,12.7,69.44,0.0,97.62
2022,1,5,21,12.88,72.81,0.0,97.69
2022,1,5,22,12.88,74.19,0.0,97.71
2022,1,5,23,12.82,75.06,0.01,97.68
2022,1,6,0,12.76,76.19,0.01,97.65
2022,1,6,1,12.7,77.38,0.01,97.59
2022,1,6,2,12.63,78.62,0.0,97.56
2022,1,6,3,12.57,79.56,0.0,97.56
2022,1,6,4,12.45,80.25,0.0,97.6
2022,1,6,5,12.27,81.06,0.0,97.65
2022,1,6,6,12.39,81.0,0.0,97.71
2022,1,6,7,12.51,69.75,0.0,97.78
2022,1,6,8,12.7,61.19,0.0,97.85
2022,1,6,9,12.57,54.5,0.0,97.86
2022,1,6,10,12.51,50.06,0.0,97.81
2022,1,6,11,12.39,46.81,0.0,97.71
2022,1,6,12,12.15,43.75,0.0,97.59
2022,1,6,13,11.78,41.5,0.0,97.47
2022,1,6,14,11.72,41.06,0.0,97.37
2022,1,6,15,11.96,42.75,0.0,97.34
2022,1,6,16,12.33,46.31,0.0,97.36
2022,1,6,17,13.31,56.56,0.0,97.41
2022,1,6,18,12.7,57.0,0.14,97.48
2022,1,6,19,13.12,61.69,0.19,97.6
2022,1,6,20,13.43,66.06,0.3,97.72
2022,1,6,21,13.55,68.88,0.16,97.81
2022,1,6,22,13.55,69.88,0.09,97.85
2022,1,6,23,13.55,72.12,0.17,97.84
2022,1,7,0,13.55,73.0,0.24,97.83
2022,1,7,1,13.55,73.75,0.47,97.79
2022,1,7,2,13.55,74.56,0.32,97.76
2022,1,7,3,13.55,77.12,0.13,97.76
2022,1,7,4,13.55,79.19,0.05,97.82
2022,1,7,5,13.55,82.06,0.04,97.88
2022,1,7,6,13.79,84.19,0.02,97.94
2022,1,7,7,14.22,76.69,0.03,98.0
2022,1,7,8,13.73,65.31,0.01,98.05
2022,1,7,9,12.82,55.25,0.0,98.04
2022,1,7,10,12.57,49.62,0.0,97.96
2022,1,7,11,12.39,45.81,0.0,97.85
2022,1,7,12,11.96,42.31,0.01,97.72
2022,1,7,13,11.41,39.75,0.0,97.61
2022,1,7,14,12.33,43.62,0.01,97.54
2022,1,7,15,12.15,43.25,0.09,97.53
2022,1,7,16,13.12,51.25,0.04,97.57
2022,1,7,17,14.4,68.0,0.03,97.65
2022,1,7,18,14.04,73.06,0.0,97.73
2022,1,7,19,14.04,76.12,0.01,97.82
2022,1,7,20,13.92,77.62,0.02,97.88
2022,1,7,21,13.67,78.62,0.01,97.9
2022,1,7,22,13.43,79.56,0.0,97.86
2022,1,7,23,13.31,80.75,0.0,97.81
2022,1,8,0,13.24,81.5,0.01,97.8
2022,1,8,1,13.24,82.56,0.02,97.81
2022,1,8,2,13.49,83.19,0.02,97.8
2022,1,8,3,13.67,83.12,0.01,97.8
2022,1,8,4,13.67,82.56,0.01,97.83
2022,1,8,5,13.55,82.31,0.0,97.87
2022,1,8,6,13.79,81.38,0.0,97.98
2022,1,8,7,14.04,74.44,0.0,98.08
2022,1,8,8,13.55,65.06,0.0,98.15
2022,1,8,9,13.06,58.0,0.0,98.18
2022,1,8,10,12.51,52.81,0.0,98.14
2022,1,8,11,12.27,50.25,0.0,98.05
2022,1,8,12,12.21,49.12,0.0,97.94
2022,1,8,13,12.21,48.75,0.0,97.82
2022,1,8,14,12.51,49.56,0.0,97.74
2022,1,8,15,12.63,49.56,0.0,97.71
2022,1,8,16,14.16,59.25,0.0,97.73
2022,1,8,17,14.47,67.44,0.0,97.77
2022,1,8,18,13.73,67.44,0.0,97.85
2022,1,8,19,13.61,68.12,0.0,97.96
2022,1,8,20,13.61,69.31,0.0,98.07
2022,1,8,21,13.67,70.94,0.0,98.13
2022,1,8,22,13.73,72.94,0.01,98.14
2022,1,8,23,13.73,74.38,0.01,98.12
2022,1,9,0,13.79,76.19,0.03,98.08
2022,1,9,1,13.85,78.38,0.02,98.04
2022,1,9,2,13.73,80.44,0.01,97.99
2022,1,9,3,13.55,81.75,0.0,97.97
2022,1,9,4,13.37,82.75,0.0,97.98
2022,1,9,5,13.24,83.31,0.0,98.03
2022,1,9,6,13.37,82.12,0.0,98.09
2022,1,9,7,13.49,70.81,0.0,98.14
2022,1,9,8,13.31,61.56,0.0,98.18
2022,1,9,9,13.18,55.06,0.0,98.16
2022,1,9,10,13.12,50.88,0.0,98.1
2022,1,9,11,13.06,47.62,0.0,97.98
2022,1,9,12,12.94,45.12,0.0,97.84
2022,1,9,13,13.31,45.38,0.0,97.71
2022,1,9,14,13.49,46.06,0.0,97.62
2022,1,9,15,13.61,47.56,0.0,97.59
2022,1,9,16,14.22,52.75,0.0,97.63
2022,1,9,17,15.14,65.56,0.0,97.71
2022,1,9,18,15.08,71.25,0.0,97.81
2022,1,9,19,15.38,76.19,0.0,97.91
2022,1,9,20,15.38,78.06,0.01,98.0
2022,1,9,21,15.01,77.19,0.01,98.04
2022,1,9,22,14.65,75.62,0.0,98.03
2022,1,9,23,14.4,75.38,0.0,97.99
2022,1,10,0,14.16,76.5,0.0,97.94
2022,1,10,1,13.98,77.81,0.0,97.88
2022,1,10,2,13.79,79.12,0.0,97.84
2022,1,10,3,13.67,80.75,0.0,97.84
2022,1,10,4,13.61,81.94,0.0,97.87
2022,1,10,5,13.49,82.81,0.0,97.93
2022,1,10,6,13.73,82.56,0.0,98.0
2022,1,10,7,13.92,71.81,0.0,98.06
2022,1,10,8,13.55,61.88,0.0,98.12
2022,1,10,9,13.18,54.12,0.0,98.1
2022,1,10,10,12.88,48.62,0.0,98.02
2022,1,10,11,12.82,45.38,0.0,97.91
2022,1,10,12,13.37,45.5,0.0,97.79
2022,1,10,13,13.49,44.94,0.0,97.68
2022,1,10,14,13.31,44.5,0.02,97.61
2022,1,10,15,13.31,45.56,0.04,97.59
2022,1,10,16,13.67,50.25,0.03,97.62
2022,1,10,17,14.04,58.94,0.08,97.68
2022,1,10,18,14.34,64.69,0.03,97.76
2022,1,10,19,14.47,69.06,0.04,97.86
2022,1,10,20,14.28,71.75,0.05,97.94
2022,1,10,21,14.34,74.94,0.06,97.97
2022,1,10,22,14.53,78.06,0.07,97.97
2022,1,10,23,14.47,79.31,0.07,97.94
2022,1,11,0,14.4,80.75,0.03,97.92
2022,1,11,1,14.16,81.69,0.01,97.88
2022,1,11,2,13.92,82.38,0.01,97.85
2022,1,11,3,13.67,82.44,0.0,97.86
2022,1,11,4,13.43,82.38,0.0,97.9
2022,1,11,5,13.12,82.06,0.0,97.94
2022,1,11,6,13.12,80.38,0.0,97.99
2022,1,11,7,13.12,69.31,0.0,98.05
2022,1,11,8,12.57,59.25,0.0,98.09
2022,1,11,9,12.33,51.94,0.0,98.07
2022,1,11,10,12.21,47.12,0.0,98.0
2022,1,11,11,12.21,44.12,0.0,97.89
2022,1,11,12,12.7,44.06,0.0,97.77
2022,1,11,13,12.94,43.88,0.0,97.68
2022,1,11,14,12.76,43.31,0.0,97.61
2022,1,11,15,12.88,44.88,0.01,97.62
2022,1,11,16,13.37,50.62,0.01,97.67
2022,1,11,17,14.77,65.06,0.01,97.76
2022,1,11,18,14.47,69.19,0.01,97.87
2022,1,11,19,13.92,69.94,0.02,97.97
2022,1,11,20,13.73,72.38,0.02,98.05
2022,1,11,21,13.61,74.38,0.01,98.08
2022,1,11,22,13.37,75.38,0.0,98.05
2022,1,11,23,13.06,76.44,0.0,98.0
2022,1,12,0,12.82,78.31,0.0,97.94
2022,1,12,1,12.51,79.31,0.0,97.88
2022,1,12,2,12.27,80.19,0.0,97.82
2022,1,12,3,12.08,80.69,0.0,97.8
2022,1,12,4,11.9,81.06,0.0,97.81
2022,1,12,5,11.78,81.12,0.0,97.85
2022,1,12,6,11.9,79.0,0.0,97.92
2022,1,12,7,12.02,67.25,0.0,97.99
2022,1,12,8,11.96,57.69,0.0,98.04
2022,1,12,9,12.02,50.75,0.0,98.04
2022,1,12,10,12.21,46.75,0.0,97.99
2022,1,12,11,12.51,44.56,0.0,97.9
2022,1,12,12,13.24,45.31,0.01,97.78
2022,1,12,13,13.43,45.19,0.02,97.68
2022,1,12,14,13.12,44.0,0.03,97.61
2022,1,12,15,13.67,48.06,0.02,97.58
2022,1,12,16,14.65,55.44,0.02,97.62
2022,1,12,17,15.99,69.75,0.02,97.69
2022,1,12,18,15.5,72.0,0.03,97.78
2022,1,12,19,15.32,74.19,0.05,97.89
2022,1,12,20,15.08,76.44,0.05,97.98
2022,1,12,21,14.83,78.5,0.05,98.02
2022,1,12,22,14.53,80.44,0.04,98.01
2022,1,12,23,14.1,81.25,0.02,98.01
2022,1,13,0,13.67,81.38,0.01,97.98
2022,1,13,1,13.18,80.88,0.01,97.95
2022,1,13,2,12.82,80.56,0.0,97.91
2022,1,13,3,12.45,80.25,0.0,97.91
2022,1,13,4,12.21,80.31,0.0,97.93
2022,1,13,5,11.96,80.62,0.0,97.98
2022,1,13,6,12.02,79.31,0.0,98.05
2022,1,13,7,12.21,69.44,0.0,98.12
2022,1,13,8,12.02,58.44,0.0,98.15
2022,1,13,9,11.9,50.31,0.0,98.14
2022,1,13,10,11.9,45.5,0.0,98.06
2022,1,13,11,12.02,42.75,0.0,97.93
2022,1,13,12,12.33,42.25,0.0,97.78
2022,1,13,13,12.82,43.38,0.01,97.64
2022,1,13,14,12.63,42.88,0.01,97.53
2022,1,13,15,12.7,44.25,0.02,97.5
2022,1,13,16,13.43,49.81,0.01,97.51
2022,1,13,17,15.2,65.06,0.01,97.57
2022,1,13,18,14.47,66.06,0.0,97.66
2022,1,13,19,14.65,69.56,0.0,97.77
2022,1,13,20,14.71,72.81,0.0,97.85
2022,1,13,21,14.59,74.81,0.0,97.9
2022,1,13,22,14.1,74.31,0.0,97.89
2022,1,13,23,13.92,76.38,0.0,97.86
2022,1,14,0,13.67,78.0,0.0,97.81
2022,1,14,1,13.37,78.81,0.0,97.74
2022,1,14,2,13.18,79.38,0.0,97.7
2022,1,14,3,12.88,79.56,0.0,97.69
2022,1,14,4,12.63,79.69,0.0,97.73
2022,1,14,5,12.39,79.94,0.0,97.79
2022,1,14,6,12.33,77.81,0.0,97.85
2022,1,14,7,12.08,66.19,0.0,97.95
2022,1,14,8,11.72,55.81,0.0,98.02
2022,1,14,9,11.35,47.44,0.0,98.02
2022,1,14,10,11.17,42.44,0.0,97.96
2022,1,14,11,11.05,39.31,0.0,97.86
2022,1,14,12,10.99,37.25,0.0,97.75
2022,1,14,13,10.99,36.75,0.0,97.63
2022,1,14,14,11.05,37.25,0.0,97.54
2022,1,14,15,11.23,39.31,0.0,97.52
2022,1,14,16,12.02,44.88,0.0,97.55
2022,1,14,17,13.49,57.56,0.0,97.59
2022,1,14,18,13.73,65.0,0.0,97.66
2022,1,14,19,14.1,72.19,0.0,97.76
2022,1,14,20,14.22,75.94,0.0,97.85
2022,1,14,21,14.1,77.38,0.0,97.89
2022,1,14,22,13.92,77.5,0.0,97.89
2022,1,14,23,13.73,78.06,0.0,97.88
2022,1,15,0,13.55,78.81,0.0,97.84
2022,1,15,1,13.31,79.19,0.0,97.79
2022,1,15,2,13.06,79.06,0.0,97.76
2022,1,15,3,12.82,78.88,0.0,97.75
2022,1,15,4,12.63,78.44,0.0,97.77
2022,1,15,5,12.39,77.81,0.0,97.81
2022,1,15,6,12.57,77.25,0.0,97.88
2022,1,15,7,12.63,67.44,0.0,97.96
2022,1,15,8,13.18,61.44,0.0,98.04
2022,1,15,9,13.18,56.5,0.0,98.05
2022,1,15,10,13.18,53.0,0.0,98.0
2022,1,15,11,13.18,50.75,0.0,97.91
2022,1,15,12,13.18,49.31,0.0,97.8
2022,1,15,13,13.18,49.0,0.0,97.68
2022,1,15,14,13.24,49.56,0.0,97.59
2022,1,15,15,13.37,51.31,0.0,97.57
2022,1,15,16,13.79,56.44,0.0,97.59
2022,1,15,17,14.95,70.38,0.0,97.64
2022,1,15,18,15.01,76.38,0.0,97.7
2022,1,15,19,15.14,80.38,0.0,97.78
2022,1,15,20,15.2,84.12,0.0,97.86
2022,1,15,21,15.2,86.62,0.0,97.89
2022,1,15,22,15.14,87.69,0.0,97.88
2022,1,15,23,15.08,87.0,0.0,97.86
2022,1,16,0,14.95,86.38,0.0,97.83
2022,1,16,1,14.77,86.25,0.0,97.78
2022,1,16,2,14.65,86.88,0.0,97.75
2022,1,16,3,14.47,86.5,0.0,97.75
2022,1,16,4,14.4,86.69,0.0,97.79
2022,1,16,5,14.28,86.94,0.0,97.85
2022,1,16,6,14.4,86.25,0.0,97.92
2022,1,16,7,14.65,76.38,0.0,98.0
2022,1,16,8,14.22,65.0,0.0,98.05
2022,1,16,9,13.79,57.62,0.0,98.04
2022,1,16,10,13.24,51.0,0.0,97.95
2022,1,16,11,12.76,45.62,0.0,97.82
2022,1,16,12,12.45,42.38,0.0,97.69
2022,1,16,13,12.27,40.94,0.0,97.56
2022,1,16,14,12.15,40.62,0.0,97.47
2022,1,16,15,12.27,42.12,0.0,97.46
2022,1,16,16,13.0,47.75,0.0,97.51
2022,1,16,17,14.77,63.88,0.0,97.59
2022,1,16,18,15.08,72.88,0.0,97.67
2022,1,16,19,15.08,77.0,0.0,97.77
2022,1,16,20,15.01,79.31,0.0,97.83
2022,1,16,21,14.83,79.69,0.0,97.85
2022,1,16,22,14.53,79.25,0.0,97.83
2022,1,16,23,14.28,79.5,0.0,97.81
2022,1,17,0,14.16,80.25,0.0,97.78
2022,1,17,1,14.04,80.88,0.0,97.74
2022,1,17,2,13.79,80.19,0.0,97.72
2022,1,17,3,13.55,80.0,0.0,97.74
2022,1,17,4,13.18,79.88,0.0,97.77
2022,1,17,5,12.82,79.38,0.0,97.82
2022,1,17,6,12.51,76.19,0.0,97.88
2022,1,17,7,11.9,63.19,0.0,97.94
2022,1,17,8,11.66,54.62,0.0,97.99
2022,1,17,9,11.84,49.12,0.0,97.99
2022,1,17,10,12.08,45.56,0.0,97.92
2022,1,17,11,12.21,42.94,0.0,97.82
2022,1,17,12,12.45,41.62,0.0,97.7
2022,1,17,13,13.0,42.94,0.0,97.59
2022,1,17,14,12.76,42.19,0.0,97.5
2022,1,17,15,12.39,41.88,0.0,97.48
2022,1,17,16,12.82,46.38,0.0,97.51
2022,1,17,17,13.92,58.56,0.0,97.56
2022,1,17,18,13.37,62.0,0.0,97.64
2022,1,17,19,13.37,66.06,0.0,97.76
2022,1,17,20,13.12,69.69,0.0,97.87
2022,1,17,21,12.7,70.94,0.0,97.93
2022,1,17,22,12.15,70.25,0.0,97.94
2022,1,17,23,11.66,69.0,0.0,97.92
2022,1,18,0,11.47,69.81,0.0,97.88
2022,1,18,1,11.29,70.5,0.0,97.82
2022,1,18,2,11.05,71.56,0.0,97.77
2022,1,18,3,10.93,72.44,0.0,97.76
2022,1,18,4,10.74,73.19,0.0,97.8
2022,1,18,5,10.68,73.81,0.0,97.86
2022,1,18,6,10.74,72.62,0.0,97.94
2022,1,18,7,10.74,63.38,0.0,98.02
2022,1,18,8,10.99,55.38,0.0,98.08
2022,1,18,9,11.35,49.06,0.0,98.06
2022,1,18,10,11.6,44.25,0.0,97.98
2022,1,18,11,11.66,41.12,0.0,97.87
2022,1,18,12,11.6,38.81,0.0,97.74
2022,1,18,13,11.6,37.88,0.0,97.62
2022,1,18,14,11.84,38.62,0.0,97.53
2022,1,18,15,11.78,39.75,0.0,97.5
2022,1,18,16,12.02,43.5,0.0,97.53
2022,1,18,17,13.98,60.44,0.0,97.59
2022,1,18,18,13.92,66.56,0.0,97.66
2022,1,18,19,13.67,68.69,0.0,97.76
2022,1,18,20,13.24,68.0,0.0,97.83
2022,1,18,21,12.94,68.0,0.0,97.86
2022,1,18,22,12.7,68.75,0.0,97.85
2022,1,18,23,12.63,71.31,0.0,97.82
2022,1,19,0,12.63,74.38,0.0,97.79
2022,1,19,1,12.63,77.0,0.0,97.74
2022,1,19,2,12.57,78.75,0.0,97.7
2022,1,19,3,12.45,79.0,0.0,97.68
2022,1,19,4,12.39,80.44,0.0,97.71
2022,1,19,5,12.27,81.12,0.0,97.75
2022,1,19,6,12.21,78.31,0.0,97.81
2022,1,19,7,12.15,65.94,0.0,97.88
2022,1,19,8,12.02,56.12,0.0,97.95
2022,1,19,9,11.84,47.62,0.0,97.95
2022,1,19,10,11.6,42.12,0.0,97.88
2022,1,19,11,11.6,39.06,0.0,97.76
2022,1,19,12,11.66,37.5,0.0,97.63
2022,1,19,13,11.84,37.31,0.0,97.48
2022,1,19,14,11.6,36.25,0.0,97.39
2022,1,19,15,11.54,37.0,0.0,97.35
2022,1,19,16,12.39,42.62,0.0,97.36
2022,1,19,17,14.1,58.38,0.0,97.43
2022,1,19,18,13.55,61.25,0.0,97.5
2022,1,19,19,13.73,67.12,0.0,97.59
2022,1,19,20,14.04,70.44,0.0,97.67
2022,1,19,21,13.98,71.12,0.0,97.72
2022,1,19,22,13.73,71.38,0.0,97.72
2022,1,19,23,13.43,72.12,0.0,97.71
2022,1,20,0,13.24,73.06,0.0,97.68
2022,1,20,1,13.24,75.44,0.0,97.64
2022,1,20,2,13.24,77.94,0.0,97.62
2022,1,20,3,13.24,80.06,0.0,97.61
2022,1,20,4,13.18,81.56,0.0,97.64
2022,1,20,5,13.06,82.56,0.0,97.7
2022,1,20,6,13.18,80.5,0.0,97.76
2022,1,20,7,12.94,66.38,0.0,97.84
2022,1,20,8,12.45,55.94,0.0,97.9
2022,1,20,9,11.96,47.56,0.0,97.89
2022,1,20,10,11.6,41.44,0.0,97.83
2022,1,20,11,11.35,37.75,0.0,97.72
2022,1,20,12,11.41,36.06,0.0,97.58
2022,1,20,13,11.35,35.06,0.0,97.46
2022,1,20,14,11.23,34.69,0.0,97.36
2022,1,20,15,11.29,36.0,0.0,97.33
2022,1,20,16,11.66,39.75,0.0,97.34
2022,1,20,17,12.63,49.31,0.0,97.39
2022,1,20,18,12.88,56.25,0.0,97.48
2022,1,20,19,13.67,66.94,0.0,97.58
2022,1,20,20,13.79,71.81,0.0,97.68
2022,1,20,21,13.49,72.06,0.0,97.74
2022,1,20,22,13.24,71.75,0.0,97.74
2022,1,20,23,13.0,72.56,0.0,97.72
2022,1,21,0,12.76,72.88,0.0,97.68
2022,1,21,1,12.63,73.56,0.0,97.64
2022,1,21,2,12.57,74.81,0.0,97.6
2022,1,21,3,12.57,76.25,0.0,97.6
2022,1,21,4,12.7,77.88,0.0,97.65
2022,1,21,5,12.82,79.5,0.0,97.72
2022,1,21,6,13.24,79.0,0.0,97.81
2022,1,21,7,13.43,66.19,0.0,97.89
2022,1,21,8,13.55,57.69,0.0,97.94
2022,1,21,9,13.31,50.44,0.0,97.92
2022,1,21,10,13.24,45.62,0.0,97.83
2022,1,21,11,13.24,42.69,0.0,97.7
2022,1,21,12,13.18,40.25,0.0,97.58
2022,1,21,13,12.7,37.69,0.0,97.45
2022,1,21,14,12.45,36.88,0.0,97.36
2022,1,21,15,12.51,38.38,0.0,97.34
2022,1,21,16,13.06,43.06,0.0,97.36
2022,1,21,17,14.1,52.94,0.0,97.41
2022,1,21,18,13.98,57.31,0.0,97.48
2022,1,21,19,14.71,66.38,0.0,97.57
2022,1,21,20,14.95,72.5,0.0,97.67
2022,1,21,21,14.83,74.88,0.0,97.75
2022,1,21,22,14.47,74.5,0.0,97.77
2022,1,21,23,14.16,74.5,0.0,97.78
2022,1,22,0,13.85,74.5,0.0,97.74
2022,1,22,1,13.61,75.31,0.0,97.68
2022,1,22,2,13.37,75.81,0.0,97.63
2022,1,22,3,13.18,76.56,0.0,97.62
2022,1,22,4,13.12,77.62,0.0,97.65
2022,1,22,5,13.06,78.69,0.0,97.7
2022,1,22,6,13.37,77.44,0.0,97.77
2022,1,22,7,13.37,65.0,0.0,97.85
2022,1,22,8,13.24,55.81,0.0,97.92
2022,1,22,9,13.0,48.56,0.0,97.92
2022,1,22,10,13.0,44.19,0.0,97.85
2022,1,22,11,13.24,42.38,0.0,97.75
2022,1,22,12,13.12,40.06,0.0,97.61
2022,1,22,13,12.82,38.0,0.01,97.49
2022,1,22,14,12.51,37.19,0.01,97.39
2022,1,22,15,12.45,38.0,0.01,97.35
2022,1,22,16,12.94,42.38,0.02,97.36
2022,1,22,17,14.77,57.88,0.02,97.43
2022,1,22,18,15.26,66.38,0.01,97.53
2022,1,22,19,14.77,67.5,0.01,97.65
2022,1,22,20,14.65,69.81,0.01,97.74
2022,1,22,21,14.34,70.94,0.01,97.8
2022,1,22,22,14.1,72.44,0.01,97.8
2022,1,22,23,14.1,74.81,0.01,97.76
2022,1,23,0,14.04,76.5,0.01,97.71
2022,1,23,1,13.98,77.81,0.02,97.66
2022,1,23,2,13.92,78.88,0.01,97.61
2022,1,23,3,13.79,79.56,0.01,97.6
2022,1,23,4,13.67,80.0,0.0,97.63
2022,1,23,5,13.49,80.31,0.0,97.67
2022,1,23,6,13.55,77.81,0.0,97.73
2022,1,23,7,13.24,65.31,0.0,97.78
2022,1,23,8,12.88,55.31,0.0,97.81
2022,1,23,9,12.82,49.12,0.0,97.79
2022,1,23,10,13.0,45.44,0.0,97.72
2022,1,23,11,13.24,43.19,0.0,97.61
2022,1,23,12,13.31,41.25,0.0,97.49
2022,1,23,13,13.12,39.75,0.0,97.37
2022,1,23,14,12.88,38.94,0.01,97.28
2022,1,23,15,12.7,39.62,0.0,97.25
2022,1,23,16,13.24,44.62,0.0,97.27
2022,1,23,17,14.83,60.38,0.0,97.33
2022,1,23,18,15.08,67.88,0.0,97.43
2022,1,23,19,15.38,73.12,0.0,97.53
2022,1,23,20,15.5,76.88,0.0,97.62
2022,1,23,21,15.44,79.19,0.0,97.67
